■息子から久しぶの電話。懐かしいと思うのもつかの間、怯えた声で（2分50秒）再現；警視庁	
	
C	もしもし
V	はい
C	母さん、俺、イチロウだけど
V	え、イチロウかい、もしもし、もしもし
C	電話遠い。もしもし、聞いてる
V	あ、聞こえてるよ、イチロウだろ
C	あ、母さん、ちょっと頼みがあるんだけど
V	何なの
C	あ、実は俺、友達の連帯保証人になってたんだけど
V	保証人
C	そいつがいなくなっちゃって、代わりにお金かえさなきゃならなくて
V	え、なんでなの、いっつもお前はばかばっかりしてるんだから
C	あ、ごめん母さん、でもお金の都合がついたんだよ。でも今日、銀行で下せなくて、だからちょっと立て替えた欲しいんだ
V	いくらなの
C	にひゃ200万
V	200万、母さんにそんなお金すぐに用意しろったって
C	だって取り立てやがどうしても今日中に準備しろって、もう毎日のように電話かかってくるし払わないと何されるかわかんないよ
V	イチロウ
C	昨日だって扉でドンドンドンドンやってるし、母さん頼むよ、助けてよ
V	しょうがないね、じゃ、何とかするから
C	あ、ありがとう母さん、助かった。じゃ、用意ができたら霞が関銀行の普通口座名義がモリシタアキラ口座番号356790そこに振込んでほしいんだ
V	わかった。すぐやりから
C	有難う。母さん
	
	
