■50歳女性方に、息子を装った者から【4分56秒】;再現	
	
V	もしもし、山下です
C	あ、もしもし、よしゆき
V	どうしたの、めずらしいじゃない
C	うん
V	どうしたの、元気ないね
C	うん、今、母さん1人
V	どうかしたの
C	うん、実はさぁ株で失敗しちゃってさぁ
V	株株で失敗
C	いや、1年くらい前に株をやってたんだけど、それが未公開株だったんだよ
V	未公開株、それ何
C	未公開株ってさ、まだ出回っていない株なんだけど、通常の株よりも2倍、3倍もうかるんだよっていわれてたんだよ
V	そうなのそれで
C	うん、その未公開株が実は詐欺だったんだよ
V	詐欺ってあんた
C	うん、そうなんだよ、会社の経理の人から進められたからさ、うん300万くらいつかっちゃってさ
V	300万ってそんな大金
C	うん、そうなんだよ、いやお金はね、経理の人から貸してくれるっていうから借りたんだけどそのお金が会社のお金だったんだよ
V	でも、経理の人でしょ
C	うん、それで経理の人がねうまく会社の金をごまかしていたみたいでさ。何か今日、会社に監査が入るっていうんで見つかっちゃってさ
V	そんなの、どうするのよ
C	うん、いや会社の上の人からはさ、これは横領だからおまえら警察に訴えるっていわれてさ
V	えっ、何、じゃつかまっちゃうの
C	あ、でもね、監査が入る前にお金を戻したら何とかなると言われたんだけど
V	それだったらすぐにお金返しなさいよ
C	そうなんだけどさ
V	お金ないの
C	うん。そうなんだ。だからさお母さんにしか相談できないんだ
V	いくら必要なの
C	300万
V	300万
C	うん
V	300万用意したら上の人は許してくれるの
C	うん。監査がね、夕方からはじまるんだけど、それまでに用意出来たら警察には言わないって言うんだよ
V	300万円ね。わかった。母さんが何とかするから
C	あ、本当
V	だって仕方ないじゃない
C	あ、ありがとう。でもさ、このことお父さんに言うよね
V	当たり前でしょ
C	あ、そうだよね。ねぇあのさ、お父さんには黙っててよ、だからお母さんにしか相談できないって言ったでしょ
V	うん、わかったわ。じゃ、誰にも言わないから
C	あ、本当？有難う。いやお金はね必ず返すから、毎月ちょっとづつでも返すからさ
V	うん
C	で、お金はどこで下すの
V	うん、お母さんがちょっとづつ貯めたお金が家にあるから。大丈夫よ
C	あ、本当に
V	うん
C	じゃさ、これから家に行くから
V	はい
C	うん、じゃまた電話するね
V	はい
	
※電話切れ中断	
	
V	もしもし、山下です
C	あ、母さん
V	よしゆき、今どこ
C	うん、実はさ、会社の上の人がね、お前は会社に残れって言ってるんだよ
V	そう
C	何か信用無いみたい
V	じゃ、お金はどうするの
C	うん、それでね、会社で使っている宅配業者の人が取りに行かせるって言ってるんだけどさ
V	大丈夫なの
C	うん、大丈夫。会社で使っている宅配業者の人でね、山崎さんっていう人なんだけど、その人に渡してくれるかな
V	やまざき
C	うん、宅配業者の山崎さんね。それでね、もう家の近くにいるみたいなんだけど母さん大丈夫
V	え、大丈夫よ
C	え、あ、わかった。それでね、デパートとかの紙袋にお金を入れてくれる。そしてね、ガムテープで中身が見えないようにしてもらいたいんだけどさ
V	あぁぁ、
C	あ、ほら、宅配業者の人だからお金だと届けてくれないみたいなんだよ
V	わかった
C	じゃさ、１０分後くらいに取りにいくように伝えるからさ
V	わかったわ。山崎さんに渡せばいいのね
C	うん、山崎さん、ありがとね
V	はい
C　　   じゃあね
	
